rowid,pl_letter,pl_pnum,pl_orbper,pl_bmassj,pl_radj,pl_ttvflag,ra,dec,st_optmag,st_teff,st_mass,st_rad
1,b,1,326.03,19.4,,FALSE,185.179276,17.792868,4.74,4742,2.7,19
2,b,1,516.22,10.5,,FALSE,229.274536,71.823898,5.016,4340,1.8,24.08
3,b,1,185.84,4.8,,FALSE,352.822571,39.236198,,4813,2.2,11
4,b,1,1773.4,4.64,,FALSE,242.601303,43.817646,6.61,5311,0.9,
5,b,1,798.5,1.68,,FALSE,295.466553,50.517525,6.25,5674,0.99,
6,b,1,993.3,10.3,,FALSE,314.608063,10.839286,,4979,2.3,8.5
7,b,1,,8,,FALSE,242.376268,-21.083036,,4060,0.85,
8,b,2,452.8,1.99,,FALSE,155.86821,-0.902244,6.441,5098,1.54,4.9
9,c,2,883,0.86,,FALSE,155.86821,-0.902244,6.441,5098,1.54,4.9
10,b,1,,24.5,,FALSE,20.712243,-24.664049,14.24,3530,0.4,
11,b,1,,13.9,1.44,FALSE,34.842106,-39.422928,,3064,0.11,0.28
12,b,1,,7.5,,FALSE,70.437073,23.030941,,,0.02,
13,b,1,,4,,FALSE,181.889447,-39.548332,20.15,,0.02,
14,b,1,416,1.9,,FALSE,294.635865,46.066418,12.264,,0.48,
15,b,1,7336.5,20.95,0.92,FALSE,325.122159,16.421759,,2300,0.08,0.12
16,b,1,335.1,9.88,,FALSE,39.240585,24.648064,,6300,1.16,1.13
17,b,1,269.3,7.1,,FALSE,130.053406,64.327934,4.61,4415,1.23,18.11
18,b,1,479.1,3.88,,FALSE,276.496399,65.563484,4.82,4200,0.98,22.03
19,b,3,1078,2.53,,FALSE,164.866562,40.430256,5.05,5892,1.03,1.23
20,c,3,2391,0.54,,FALSE,164.866562,40.430256,5.05,5892,1.03,1.23
21,d,3,14002,1.64,,FALSE,164.866562,40.430256,5.05,5892,1.03,1.23
22,b,1,,2,,FALSE,69.400551,-2.473548,5.23,,1.75,
23,b,1,4.230785,0.472,,FALSE,344.366577,20.768833,5.5,5793,1.12,1.2
24,b,5,14.65152,0.8306,,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
25,c,5,44.4175,0.1714,,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
26,d,5,4825,3.878,,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
27,e,5,0.736539,0.02542,0.17,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
28,f,5,262,0.141,,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
29,b,1,874.774,2.21,,FALSE,97.696281,58.162632,,4978,1.7,5.2
30,b,3,4.215,0.016,,FALSE,199.601318,-18.311195,4.74,5577,0.94,0.96
31,c,3,38.021,0.057,,FALSE,199.601318,-18.311195,4.74,5577,0.94,0.96
32,d,3,123.01,0.072,,FALSE,199.601318,-18.311195,4.74,5577,0.94,0.96
33,b,1,796,2.46,,FALSE,99.17099,-19.255878,3.92,4792,1.52,2.3
34,b,1,116.6926,7.4,,FALSE,202.107544,13.778788,4.98,5439,1.09,1.94
35,b,1,691.9,3,,FALSE,38.039253,-1.034896,5.35,4846,2.49,10.5
36,b,1,93.4,1.5,,FALSE,224.201477,74.900925,6.83,4847.4,1.8,9.9
37,b,1,952.7,5.3,,FALSE,39.424168,-3.396175,5.65,4785,2.4,11
38,b,1,181.4,3.2,,FALSE,348.9729,-9.087737,4.25,4665,1.4,11
39,b,1,,13.5,,FALSE,94.803802,-58.05431,9.128,,,
40,b,1,268.94,1.47,,FALSE,318.399963,14.689387,9.63,5008,0.86,0.95
41,b,1,153.22,1.061,,FALSE,176.482174,14.616381,10.31,4649,1.08,8.95
42,b,1,137.48,1.11,,FALSE,240.095566,15.54693,9.046,4796,1.1,14.7
43,b,1,7.78287,6.37,,FALSE,110.931612,20.416334,,4410,0.63,0.71
44,b,2,379.63,21.42,,FALSE,154.18691,19.891409,9.75,4137,2.8,49
45,c,2,621.99,12.47,,FALSE,154.18691,19.891409,9.75,4137,2.8,49
46,b,1,578.2,4.2,,FALSE,25.920324,21.005314,9.36,4296,0.8,17.3
47,b,1,41.6855,0.05129,0.199,FALSE,53.650966,20.599232,11.038,5766,0.96,0.93
48,b,1,392.6,0.91,,FALSE,40.710224,49.58696,9.14,4414,0.74,11
49,b,1,2590,1.6,,FALSE,45.640529,49.730011,9.38,4943,1.52,7.6
50,b,2,3.8728,0.027,,FALSE,88.251183,-5.994844,9.7,4324,0.7,
51,c,2,125.94,0.17,,FALSE,88.251183,-5.994844,9.7,4324,0.7,
52,b,2,5.6,0.045,,FALSE,150.198837,-9.51668,9.88,4746,0.74,
53,c,2,237.6,0.33,,FALSE,150.198837,-9.51668,9.88,4746,0.74,
54,b,1,3.48777,0.458,,FALSE,164.620003,-10.770376,10.08,5393,1.01,
55,b,1,1667,0.53,,FALSE,278.370148,-11.636039,9.99,4475,0.57,0.52
56,b,1,714.3,10.6,,FALSE,114.288458,-13.906639,9.45,,2.4,
57,b,1,655.6,5.1,,FALSE,7.142942,-16.226345,9.566,4714,0.74,0.69
58,b,1,10037.5,10.5,,FALSE,224.620833,10.228611,,580.5,0.02,
59,b,1,,12.569,,FALSE,166.619893,-77.625877,,,0.35,
60,b,1,,17,2.2,FALSE,166.037877,-76.455383,,,,
61,b,1,1.5089557,1.03,1.49,FALSE,102.079885,-3.102147,13.6,5950,0.95,1.11
62,b,1,13.2406,2.75,0.97,FALSE,291.063708,0.746143,15.22,5075,0.89,0.79
63,b,1,2.99433,2.33,1.43,FALSE,280.687263,5.937688,,6440,1.27,1.37
64,b,1,2.828042,0.917,1.44,FALSE,100.765677,-1.296439,15.515,5675,1.08,1.12
65,b,1,4.03519,1.308,0.885,FALSE,102.721137,-5.086445,15.039,5945,1.09,1.01
66,b,1,1.51214,7.6,1.09,FALSE,103.424211,-5.536037,16.033,6035,1.13,1.21
67,b,1,5.35227,0.535,1.17,FALSE,278.524691,-6.002595,15.63,5650,1.1,1.19
68,b,1,3.7681,2.43,1.02,FALSE,278.699254,-6.612234,15.46,5740,1.04,1.59
69,b,1,1.9000693,3.47,1.31,FALSE,98.17241,-0.031586,15,5440,0.95,1
70,b,1,3.89713,1.11,1.29,FALSE,97.033582,-0.170681,14.007,6090,1.21,1.65
71,b,1,1.7429935,3.47,1.466,FALSE,291.777056,1.383714,12.57,5625,0.96,0.91
72,b,1,9.24285,4.24,0.84,FALSE,97.720408,0.226919,14.66,5880,1.14,1.02
73,b,1,9.75598,0.038,0.435,FALSE,280.667115,6.219136,13.944,5939,1.1,1.14
74,b,1,3.6313,2.8,1.05,FALSE,279.782615,4.357806,15.63,5900,1.14,1.61
75,b,2,5.1134,0.018,0.33,FALSE,101.922547,-3.719301,,4950,0.91,0.86
76,c,2,11.759,0.088,0.44,FALSE,101.922547,-3.719301,,4950,0.91,0.86
77,b,1,4.86069,0.27,1.08,FALSE,280.629662,6.513829,,6040,1.09,1.19
78,b,1,4.20474,0.52,1.26,FALSE,279.750514,6.969787,,5590,1.09,1.79
79,b,1,3.57532,10.39,1.007,FALSE,278.495813,5.538462,15.54,5900,1.05,1.08
80,b,1,5.20851,0.484,0.955,FALSE,278.688338,5.57373,,5150,1.01,1.78
81,b,1,2.85057,0.85,0.9,FALSE,278.902103,6.479651,,5260,0.97,0.9
82,b,1,4.2568,21.66,1.01,FALSE,292.055263,0.12182,,6740,1.37,1.56
83,b,1,9.20205,0.72,1.19,FALSE,102.194663,-0.672774,,6190,1.16,1.17
84,b,1,4.0378962,0.467,1.388,FALSE,101.277254,0.815239,,6100,1,1.19
85,b,1,8.886593,2.96,1.166,FALSE,281.072525,6.663194,13.912,6090,1.05,1.02
86,b,2,0.85359159,0.018,0.141,FALSE,100.956125,-1.063033,11.668,5259,0.91,0.82
87,c,2,3.698,0.02643,,FALSE,100.956125,-1.063033,11.668,5259,0.91,0.82
88,b,1,6.21229,0.22,0.57,FALSE,291.588518,1.426452,14.8,5080,0.88,0.77
89,b,1,95.2738,0.84,1.05,FALSE,280.786712,6.204172,13.69,5625,0.99,0.94
90,b,1,246.36,28.5,,FALSE,125.76305,-49.200359,,,0.07,
91,b,1,,11,,FALSE,67.423158,26.54952,,,0.33,0.27
92,b,1,10220,6.05,,FALSE,169.316667,17.961417,,,0.69,
93,b,1,,16,,FALSE,65.898908,25.049898,,2838,0.05,
94,b,1,555530,,,FALSE,344.412689,-29.622236,1.16,,2,
95,b,1,1.62893,0.0051,0.103,FALSE,153.715737,-47.156727,13.49,3270,0.18,0.21
96,b,1,1.58040456,0.0197,0.254,FALSE,258.828837,4.96392,15.1,3170,0.16,0.18
97,b,1,11.4433,0.017,,FALSE,4.595356,44.022953,8.08,3567,0.38,0.39
98,b,3,8.631,0.035,,FALSE,62.315273,-53.373699,11.81,3500,0.4,
99,c,3,25.6,0.024,,FALSE,62.315273,-53.373699,11.81,3500,0.4,
100,d,3,603,0.079,,FALSE,62.315273,-53.373699,11.81,3500,0.4,
101,b,1,2288,0.82,,FALSE,73.023865,6.476539,12,3370,0.36,0.38
102,b,1,133.71,3.37,,FALSE,4.052823,-79.851181,6.59,5540,0.9,0.9
103,b,1,692,2.5,,FALSE,130.24673,-23.456289,11.97,3510,0.42,
104,b,1,4100,2.3,,FALSE,133.781754,1.546508,9.97,3900,0.69,
105,b,2,30.6,0.081,,FALSE,67.14882,-25.169301,11.962,3466,0.42,0.4
106,c,2,123.75,0.081,,FALSE,67.14882,-25.169301,11.962,3466,0.42,0.4
107,b,1,14.207,0.0208,,FALSE,78.944663,-31.295951,12.08,3526,0.47,0.44
108,b,1,3.3366487,0.043,0.346,FALSE,119.774349,15.391492,12.33,3652,0.51,0.48
109,b,1,2.64561,0.026,,FALSE,164.646242,-31.143989,11.93,,0.45,0.43
110,b,2,2.64977,0.00777,,FALSE,259.002655,11.057666,10.83,3722,0.5,0.49
111,c,2,13.74,0.0197,,FALSE,259.002655,11.057666,10.83,3722,0.5,0.49
112,b,1,7.3709,0.018,,FALSE,173.862289,-32.53997,9.806,3600,0.48,
113,b,1,2.64388312,0.07,0.372,FALSE,175.546219,26.70657,10.67,,0.47,0.46
114,b,1,,4,,FALSE,199.193817,9.424156,5.22,6234,1.22,
115,b,3,5.3686,0.0497,,FALSE,229.861771,-7.72228,10.56,,0.31,0.29
116,c,3,12.914,0.0173,,FALSE,229.861771,-7.72228,10.56,,0.31,0.29
117,e,3,3.149,0.0053,,FALSE,229.861771,-7.72228,10.56,,0.31,0.29
118,b,1,598.3,0.328,,FALSE,254.53688,25.74416,9.69,3700,0.54,
119,b,5,7.2004,0.018,,FALSE,259.745085,-34.996827,10.22,3350,0.33,
120,c,5,28.14,0.012,,FALSE,259.745085,-34.996827,10.22,3350,0.33,
121,e,5,62.24,0.008,,FALSE,259.745085,-34.996827,10.22,3350,0.33,
122,f,5,39.026,0.008,,FALSE,259.745085,-34.996827,10.22,3350,0.33,
123,g,5,256.2,0.014,,FALSE,259.745085,-34.996827,10.22,3350,0.33,
124,b,1,4.6938,0.035,,FALSE,262.166443,-46.895191,9.37,3600,0.35,
125,b,3,1050.3,4.95,,FALSE,262.546692,-51.636978,9.58,,0.71,
126,d,3,3.6,0.014,,FALSE,262.546692,-51.636978,9.58,,0.71,
127,e,3,35.37,0.036,,FALSE,262.546692,-51.636978,9.58,,0.71,
128,b,1,38.14,0.058,,FALSE,264.10791,68.339142,9.15,3413,0.41,0.42
129,b,2,3657,0.68,,FALSE,323.391571,-49.009006,8.66,3472,0.45,
130,c,2,35.68,0.017,,FALSE,323.391571,-49.009006,8.66,3472,0.45,
131,b,1,1845,0.91,,FALSE,332.418121,-4.640729,10.37,,0.49,
132,b,1,15.76491,3.91,,FALSE,32.608059,-50.823723,6.12,5151,0.77,
133,b,4,61.1166,2.2756,,FALSE,343.319733,-14.2637,10.191,,0.33,
134,c,4,30.0881,0.7142,,FALSE,343.319733,-14.2637,10.191,,0.33,
135,d,4,1.93778,0.021,,FALSE,343.319733,-14.2637,10.191,,0.33,
136,e,4,124.26,0.046,,FALSE,343.319733,-14.2637,10.191,,0.33,
137,b,1,,20,3,FALSE,237.300427,-35.651421,12.43,,0.7,
138,b,1,,16,,FALSE,245.47778,-20.719202,12.375,4200,0.9,
139,b,1,,11.3,1.265,FALSE,18.146006,17.065475,13.55,,0.33,
140,b,1,4.46529976,0.525,1.319,FALSE,344.445104,38.674953,10.34,5980,1.15,1.17
141,b,1,4.8878162,0.081,0.422,FALSE,297.709351,48.080856,9.472,4780,0.81,0.75
142,b,1,3.2130598,0.211,0.959,FALSE,209.389489,43.493534,12.84,4650,0.73,0.7
143,b,2,2.91625,0.851,1.272,TRUE,129.882536,47.352051,10.622,5653,1.22,1.56
144,c,2,446.27,14.28,,FALSE,129.882536,47.352051,10.622,5653,1.22,1.56
145,b,1,4.627669,2.232,1.15,FALSE,260.116169,38.242165,9.98,6600,1.39,1.47
146,b,1,10.863502,1.946,1.072,FALSE,66.248026,39.460636,12.16,5568,1.01,1.08
147,b,1,2.77596,4.193,1.289,FALSE,9.573181,42.463078,10.812,6158,1.22,1.24
148,b,2,10.338523,0.534,1.01,FALSE,324.536396,30.488716,10.54,5246,0.86,0.84
149,c,2,5584,3.4,,FALSE,324.536396,30.488716,10.54,5246,0.86,0.84
150,b,1,5.508023,0.197,0.995,FALSE,256.346473,33.012512,12.759,4803,0.77,0.75
151,b,1,4.008778,0.292,1.132,FALSE,9.516742,34.711575,12.901,4990,0.84,0.82
152,b,1,5.6334729,9.09,1.157,FALSE,245.151489,41.048084,,6290,1.36,1.64
153,b,1,2.875317,7.246,0.867,FALSE,111.916469,24.33663,11.339,4595,0.76,0.69
154,b,1,4.124481,4.063,1.024,FALSE,171.274955,41.027954,11.685,5588,0.95,1.1
155,b,1,3.21222,2.147,1.08,FALSE,155.681719,50.128345,9.732,5302,0.92,1.04
156,b,1,1.21288287,2.07,1.224,FALSE,306.123854,16.762152,,5885,1.1,1.09
157,b,1,3.35524,0.685,1.242,FALSE,108.825058,14.262599,11.818,6373,1.19,1.32
158,b,1,3.652836,0.567,1.19,FALSE,48.435419,25.197405,13.19,5500,1.01,0.96
159,b,1,4.234516,0.059,0.565,FALSE,213.156383,4.059997,11.744,5079,0.82,0.79
160,b,1,3.039577,0.62,1.02,FALSE,222.767436,5.947368,,5300,0.94,0.9
161,b,1,3.257215,0.626,1.212,FALSE,13.000766,34.728413,13.03,5680,1.02,1.1
162,b,1,5.723186,0.778,1.107,FALSE,33.131142,51.778759,11.9,6087,1.21,1.22
163,b,1,2.899736,0.591,0.827,FALSE,206.094121,48.028667,11.577,5185,0.92,0.8
164,b,1,2.810595,0.711,1.34,FALSE,123.949894,5.836719,10.419,6304,1.24,1.22
165,b,1,5.005425,2.171,1.07,FALSE,271.537705,26.426662,11.66,6065,1.22,1.36
166,b,1,2.15000805,,1.789,FALSE,31.042848,46.687836,11.289,6269,,1.22
167,b,1,3.474474,0.762,1.686,FALSE,113.184212,33.835052,11.188,6446,1.38,1.64
168,b,1,5.452654,3.328,1.197,FALSE,303.195342,18.104868,,6442,1.39,1.53
169,b,1,3.646706,1.054,1.332,FALSE,123.250764,4.787023,12.46,6096,1.24,1.44
170,b,1,1.327347,1.832,1.264,FALSE,188.266255,44.915352,12.262,5560,1.02,1.1
171,b,1,2.797436,1.169,1.178,FALSE,284.296064,51.269138,13.23,5500,0.93,0.88
172,b,1,4.640382,0.267,0.825,FALSE,35.383234,32.246151,12.557,5330,0.89,0.92
173,b,1,3.54387,0.599,1.571,FALSE,113.758247,17.830082,12.422,6430,1.4,1.62
174,b,1,3.056536,0.671,1.274,FALSE,229.991354,36.229664,11.118,5860,1.26,1.6
175,b,1,4.457243,0.615,1.73,FALSE,335.512861,45.457378,11.699,6080,1.51,2.21
176,b,1,2.694047,0.8,1.685,FALSE,297.322651,4.672421,,6390,1.42,1.68
177,b,1,4.641878,1.044,1.28,FALSE,135.344391,6.09723,12.168,5743,1.18,1.53
178,b,1,3.332687,0.662,1.281,FALSE,128.925737,10.206653,13.356,5645,1.05,1.1
179,b,2,4.301219,0.352,1.242,FALSE,213.144074,47.014687,,5295,0.94,0.95
180,c,2,872.2,4,,FALSE,213.144074,47.014687,,5295,0.94,0.95
181,b,1,3.128992,0.892,1.426,FALSE,274.373238,-3.381036,,6330,1.26,1.32
182,b,1,4.463129,0.493,1.284,FALSE,270.444201,-2.970947,,6120,1.28,1.4
183,b,1,2.691548,1.73,1.413,FALSE,305.441397,26.692652,10.326,6820,1.54,1.83
184,b,1,2.788491,1.06,1.26,FALSE,274.405476,36.62141,12,5960,1.16,1.17
185,b,1,3.1220109,1.35,1.288,FALSE,118.063411,12.13941,11.762,6280,1.27,1.7
186,b,1,4.2180278,0.309,1.293,FALSE,21.06519,32.810764,13.44,5449,0.98,1.04
187,b,1,2.7535953,0.818,1.009,FALSE,42.721679,29.022396,14.068,5131,0.89,0.89
188,b,1,1.9616241,1.484,1.318,FALSE,21.871105,38.968147,13.73,5956,1.09,1.21
189,b,1,3.799847,0.76,0.944,FALSE,99.898,25.48254,13.6,4390,0.65,0.62
190,b,1,3.5852467,0.582,1.182,FALSE,264.273447,25.731186,13.207,5808,1.01,1.01
191,b,1,2.7908327,2.18,1.466,FALSE,100.848038,27.252293,10.908,6566,1.3,1.43
192,b,1,2.465295,1.85,1.413,FALSE,274.743421,10.597294,10.465,7500,1.47,1.5
193,b,1,3.852985,1.057,1.33,FALSE,354.774222,42.465973,10.44,6570,1.29,1.46
194,b,1,2.2047354,1.781,1.419,FALSE,292.24731,47.969513,10.463,6350,1.47,1.84
195,b,1,3.0763776,1.52,1.5,FALSE,343.041067,35.447109,10.3,6200,1.28,1.58
196,b,1,3.92289,0.78,1.4,FALSE,110.168529,37.140652,12.297,6350,1.28,1.32
197,b,1,3.446459,1.855,1.302,FALSE,175.525336,-23.354836,12.053,5870,0.99,1.04
198,b,1,3.312846,0.526,0.969,FALSE,294.306813,-22.204477,13.113,5880,1.1,1.1
199,b,1,3.0440499,0.543,1.212,FALSE,316.961465,-26.096655,13.887,5523,0.96,0.89
200,b,1,2.7667641,1.071,1.039,FALSE,313.215479,-25.687334,13.79,5346,0.97,0.93
201,b,1,1.74748753,2.17,1.105,FALSE,311.091961,-19.43751,14.774,5311,0.87,0.92
202,b,1,2.686502,3.27,1.3,FALSE,358.55871,-30.012999,13.834,5738,0.97,1.24
203,b,1,16.254611,1.338,0.777,FALSE,192.189799,-47.613693,12.39,5846,1.13,1.09
204,b,1,1.354133,1.345,1.168,FALSE,176.739094,-22.562992,13.562,5227,0.88,0.9
205,b,1,4.2986432,0.613,1.26,FALSE,207.907777,-23.781174,13.097,5715,0.99,1.11
206,b,1,3.3023881,0.65,1.75,FALSE,144.926863,-28.58559,12.955,6071,1.3,2.04
207,b,1,4.637038,0.53,1.5,FALSE,193.55256,-46.587715,12.766,6438,1.42,1.74
208,b,1,3.1810781,0.672,1.194,FALSE,284.399685,-49.13847,13.934,5498,0.93,0.92
209,b,1,4.6058749,0.653,1.251,FALSE,285.096424,-54.893192,12.612,5670,1.03,1.07
210,b,1,3.547851,1.071,1.381,FALSE,312.45744,-24.428793,12.44,6351,1.21,1.4
211,b,1,3.1743516,0.706,1.175,FALSE,5.618693,-59.942551,12.192,5943,1.09,1.06
212,b,1,2.516729,1.323,1.02,FALSE,94.112075,-22.546885,13.459,5403,1,0.93
213,b,1,4.763387,0.237,0.912,FALSE,67.222871,-21.481916,12.63,5304,0.94,0.87
214,b,1,3.3252725,0.319,0.998,FALSE,88.146797,-19.031656,15.16,3724,0.57,0.57
215,b,1,3.583893,0.138,0.873,FALSE,294.941746,-25.748318,14.03,5679,1.06,1.09
216,b,1,1.9153073,0.837,1.065,FALSE,290.810104,-20.166317,13.276,5366,1.03,1.5
217,b,1,,,6.9,FALSE,173.356003,-70.194786,6.704,10500,2.4,
218,b,1,157.57,1.7,,FALSE,173.76564,20.441545,6.45,4861,2.4,9.3
219,b,1,383.7,1.16,,FALSE,173.964676,-4.755697,8.418,5582,1.01,
220,c,6,5.75969,0.0416,,FALSE,24.473234,-60.511528,7.321,5911,1.06,1.11
221,d,6,16.357,0.0378,,FALSE,24.473234,-60.511528,7.321,5911,1.06,1.11
222,e,6,49.748,0.0805,,FALSE,24.473234,-60.511528,7.321,5911,1.06,1.11
223,f,6,122.744,0.0722,,FALSE,24.473234,-60.511528,7.321,5911,1.06,1.11
224,g,6,604.67,0.0732,,FALSE,24.473234,-60.511528,7.321,5911,1.06,1.11
225,h,6,2205,0.2066,,FALSE,24.473234,-60.511528,7.321,5911,1.06,1.11
226,b,1,70.46,0.3,,FALSE,175.875458,-58.006886,8.21,5079,0.74,
227,b,1,20.8133,0.172,,FALSE,176.210251,-58.703709,7.47,5695,1.11,
228,b,1,4.113775,0.45,,FALSE,176.426224,2.821483,8.062,5291,0.87,
229,b,1,127.58,5.9,,FALSE,176.598068,14.123986,8.69,4908,1.9,10.1
230,b,1,778.1,5.9,,FALSE,176.694351,3.474293,8.04,4830,1.95,6.3
231,b,1,122.1,0.05,,FALSE,176.629471,-40.500355,4.91,5630,0.85,
232,b,1,6.495,0.96,,FALSE,177.843796,57.640736,7.851,5054,1.68,4.4
233,b,1,47.84,0.098,,FALSE,178.220749,-50.292824,9.391,5303,0.9,
234,b,1,4.5557,0.62,,FALSE,179.1716,-2.778953,9.49,5017,0.79,0.73
235,b,1,5.8881,0.367,,FALSE,179.231628,-12.107909,7.121,6489,1.33,
236,b,1,55.806,0.186,,FALSE,179.791702,-20.353781,7.93,4969,0.79,
237,b,1,1043,2.1,,FALSE,25.471457,2.704376,7.84,5034,1.56,
238,b,1,199.505,8.3,,FALSE,181.312988,76.905731,5.8,,,
239,b,1,1531,6.92,,FALSE,183.372955,10.041638,7.408,5870,1.01,
240,b,1,2890,11,,FALSE,183.40535,-9.513381,7.73,5638,1.32,2.5
241,b,1,989.2,0.94,,FALSE,25.622149,-53.740833,5.52,6218,1.11,1.1
242,b,1,3630,9.61,,FALSE,183.777359,-7.257327,7.971,5362,0.97,1.62
243,b,1,,11,,FALSE,184.471634,-55.975525,7.797,6516,1.5,
244,b,1,1075.2,6.21,,FALSE,26.232603,20.083149,6.279,5680,1.11,
245,b,1,48.056,0.21,,FALSE,184.806213,-3.319789,8.01,5797,1.12,
246,b,1,10.8985,0.261,,FALSE,186.44278,-64.022087,6.995,6265,1.27,
247,b,1,1129,3.5,,FALSE,186.880798,-71.422974,9.36,5122,0.84,0.79
248,b,1,443.4,2.6,,FALSE,187.582962,21.948244,7.89,4956,1.85,5.6
249,b,2,395.8,1.29,,FALSE,187.612015,22.879829,,5551,0.95,
250,c,2,1624,0.99,,FALSE,187.612015,22.879829,,5551,0.95,
251,b,1,68.27,0.77,,FALSE,188.029953,74.489548,8.77,5844,1.01,1.02
252,b,2,7.8543,0.054,,FALSE,188.398148,-11.621868,8.055,5783,1.05,
253,c,2,30.93,0.076,,FALSE,188.398148,-11.621868,8.055,5783,1.05,
254,b,1,5.24,0.28,,FALSE,189.318237,-40.812115,8.208,5903,1.2,1.24
255,b,1,835.477,11.09,,FALSE,189.811523,-7.995564,4.66,4445,2.17,20.9
256,b,1,1143,6.8,,FALSE,192.215637,-68.425148,7.59,5494,0.78,
257,b,1,324,2.83,,FALSE,195.445526,63.610226,6.008,6576.6,1.4,1.5
258,b,2,663.2,0.36,,FALSE,196.239487,-52.442924,9.057,4462,0.58,0.53
259,c,2,1818,0.93,,FALSE,196.239487,-52.442924,9.057,4462,0.58,0.53
260,b,1,937.7,1.24,,FALSE,197.665924,-35.054783,8.73,4804,0.68,
261,b,1,3827,0.48,,FALSE,198.013275,-37.80302,4.85,5729,1.36,
262,b,1,1114,0.95,,FALSE,198.184402,-31.873348,6.68,5821,1,
263,b,1,83.9151,10.98,1.11,FALSE,198.08226,17.517122,7.301,5673,0.83,1.24
264,b,1,493.7,1.1,,FALSE,198.182434,-2.26504,7.55,5135,0.85,
265,b,2,1627.5,4.21,,FALSE,28.210558,-19.506975,7.51,6055,1.24,1.33
266,c,2,223.6,0.36,,FALSE,28.210558,-19.506975,7.51,6055,1.24,1.33
267,b,1,670,2.1,,FALSE,200.164764,24.648699,8.04,4951,1.58,4.6
268,b,1,2597,1.88,,FALSE,202.337967,-35.570995,7.26,5724,1.08,
269,b,1,433.7,6.5,,FALSE,29.708696,73.152382,6.87,4312.5,0.9,27.3
270,b,1,25.827,0.178,,FALSE,203.106476,-47.271362,7.169,5990,1.08,
271,b,1,6.1335,2.13,,FALSE,203.510574,53.728531,8.05,5600,1.23,
272,b,2,1945,0.622,,FALSE,29.290026,-10.242428,6.42,5349,1.12,
273,c,2,37.91,0.0788,,FALSE,29.290026,-10.242428,6.42,5349,1.12,
274,b,1,711,6.54,,FALSE,28.733881,-67.647301,4.69,4970,1.91,10.09
275,b,1,2082,4.5,,FALSE,205.663345,78.064438,5.899,4892,2.39,9.12
276,b,1,63.33,1.22,,FALSE,209.321823,-56.040043,7.517,6075,1.18,
277,b,1,58.83,2.98,,FALSE,30.611374,2.815859,8.17,5920,1.01,
278,b,1,9.6737,0.041,,FALSE,215.346603,-40.393948,9,,,
279,b,3,559.4,3,,FALSE,215.222977,-17.481522,8.317,5900,1.09,
280,c,3,4.1547,0.058,,FALSE,215.222977,-17.481522,8.317,5900,1.09,
281,d,3,3008,7.2,,FALSE,215.222977,-17.481522,8.317,5900,1.09,
282,b,1,133.6,2.9,,FALSE,34.748653,85.736153,6.98,4835.8,1.2,9.2
283,b,2,262.709,2.176,,FALSE,31.142866,25.414305,7.425,5748,1.02,1.11
284,c,2,1708,1.812,,FALSE,31.142866,25.414305,7.425,5748,1.02,1.11
285,b,1,1244,0.38,,FALSE,216.701172,-5.17778,8.788,5585,1.15,1.09
286,b,2,453.019,1.769,,FALSE,219.002335,9.746518,7.51,,0.83,0.76
287,c,2,921.538,3.789,,FALSE,219.002335,9.746518,7.51,,0.83,0.76
288,b,1,1840,1.6,,FALSE,221.512772,-68.762749,8.787,,,
289,b,1,10.70871,1.15,,FALSE,221.886368,-0.281476,8.031,5387,0.92,0.85
290,b,1,200887.5,4,,FALSE,223.605453,-34.142788,7.074,9300,1.82,
291,b,1,883,2.2,,FALSE,223.345947,18.235401,7.96,4927,1.61,4.3
292,b,1,1951,18.15,,FALSE,225.025314,-73.535339,8.128,5886,1.1,1.16
293,b,1,471.6,14,,FALSE,32.417381,32.316437,7.556,,,
294,b,1,974,5.61,,FALSE,224.227707,53.382168,8.467,,,
295,b,1,1544,1.49,,FALSE,224.589661,44.043148,8.928,,,
296,b,2,258.19,1.59,,FALSE,228.369446,-25.309347,6.45,5585,1.1,1.25
297,c,2,5000,0.82,,FALSE,228.369446,-25.309347,6.45,5585,1.1,1.25
298,b,1,464.3,2,,FALSE,229.775757,41.733208,7.879,5071,1.33,3.4
299,b,1,330,0.223,,FALSE,233.916367,-80.20459,8.696,5240,0.86,0.82
300,b,2,19.382,0.865,,FALSE,34.560665,65.59436,7.508,6255,1.29,1.67
301,c,2,931,5.13,,FALSE,34.560665,65.59436,7.508,6255,1.29,1.67
302,b,1,4218,1.88,,FALSE,34.197414,43.772995,7.597,5829,1.02,1.23
303,b,1,1125.7,9.76,,FALSE,233.81749,53.922142,5.964,4700,1.35,11.47
304,b,1,1455,7.8,,FALSE,34.293499,23.767832,6.53,4815,2.4,12.4
305,b,4,94.44,0.451,,FALSE,236.724228,46.986263,7.2,5600,1.07,
306,c,4,201.99,1.33,,FALSE,236.724228,46.986263,7.2,5600,1.07,
307,d,4,1069.8,1.18,,FALSE,236.724228,46.986263,7.2,5600,1.07,
308,e,4,5000,0.66,,FALSE,236.724228,46.986263,7.2,5600,1.07,
309,b,1,653.22,9.316,,FALSE,238.07312,-18.436066,7.25,5879,1.03,0.99
