rowid,pl_letter,pl_pnum,pl_orbper,pl_bmassj,pl_radj,pl_ttvflag,ra,dec,st_optmag,st_teff,st_mass,st_rad
2868,b,1,27.07237711,,0.194,FALSE,297.208965,41.781708,14.556,5680,0.96,0.95
2869,b,1,13.71933369,,0.213,FALSE,292.478209,42.142291,14.2,6224,1.19,1.29
2870,b,1,133.4605235,,0.614,FALSE,287.174894,44.878571,15.12,5681,0.95,0.93
2871,b,1,3.5224991,0.59,1.416,FALSE,281.288118,42.45108,13.9,6213,1.21,1.49
2872,b,5,7.05246,0.0218,0.238,TRUE,296.112564,39.978779,14.804,4540,0.73,0.68
2873,c,5,9.52355,0.02121,0.244,TRUE,296.112564,39.978779,14.804,4540,0.73,0.68
2874,d,5,3.07222,0.02124,0.136,TRUE,296.112564,39.978779,14.804,4540,0.73,0.68
2875,e,5,4.64489,0.01299,0.143,TRUE,296.112564,39.978779,14.804,4540,0.73,0.68
2876,f,5,0.9867873,,0.108,FALSE,296.112564,39.978779,14.804,4540,0.73,0.68
2877,b,1,14.13176026,,0.254,FALSE,286.574823,44.795204,15.762,5315,0.85,0.82
2878,b,1,11.41928253,,0.178,FALSE,286.075243,44.664639,15.314,4435,0.67,0.63
2879,b,1,40.0587473,,0.316,FALSE,286.015855,45.007767,14.862,5507,0.93,0.9
2880,b,1,50.28638192,,0.338,FALSE,299.221605,44.693874,13.672,5919,1.05,1.12
2881,b,2,14.37457351,,0.173,FALSE,293.37227,44.785137,13.749,5817,1.01,1.05
2882,c,2,9.65185017,,0.102,FALSE,293.37227,44.785137,13.749,5817,1.01,1.05
2883,b,1,30.8638931,,0.258,FALSE,293.229945,45.053314,12.547,6112,1.19,1.65
2884,b,1,8.09219642,,0.102,FALSE,296.007043,44.853443,11.731,5770,0.99,1.16
2885,b,1,117.9310878,,0.93,FALSE,289.020172,48.119812,15.128,5965,1.04,1.06
2886,b,1,0.63133235,,0.13,FALSE,291.59409,48.445614,14.285,4653,0.76,0.71
2887,b,1,55.63934,,0.269,FALSE,289.083643,48.018131,14.755,5734,0.99,0.98
2888,b,3,5.955,,0.216,TRUE,293.63695,42.82497,15.019,4500,0.64,0.59
2889,c,3,12.04,,0.211,TRUE,293.63695,42.82497,15.019,4500,0.64,0.59
2890,d,3,20.837846,,0.108,FALSE,293.63695,42.82497,15.019,4500,0.64,0.59
2891,b,1,4.59725385,,0.172,FALSE,296.614859,48.082645,15.803,5803,1.03,1.04
2892,b,1,23.58447697,,0.241,FALSE,285.424273,47.834614,13.971,5747,1.01,1.24
2893,b,1,10.11716531,,0.317,FALSE,288.85529,48.208538,13.832,6761,1.45,1.71
2894,b,1,19.12947337,,0.191,FALSE,285.662694,48.435371,14.569,5743,0.95,0.93
2895,b,1,6.1469851,,0.189,FALSE,284.910486,48.431644,14.706,6162,1.15,1.22
